Date,Temperature (°C),Rainfall_mm,Humidity_pct,Crop_Yield_Impact_Score,Vegetable_Price_LKR_kg,Month,Day_of_Week,Year,Price_7_Days_Ago,Region_Anuradhapura,Region_Badulla,Region_Batticaloa,Region_Colombo,Region_Galle,Region_Gampaha,Region_Hambantota,Region_Jaffna,Region_Kalutara,Region_Kandy,Region_Kegalle,Region_Kilinochchi,Region_Kurunegala,Region_Mannar,Region_Matale,Region_Matara,Region_Monaragala,Region_Mullaitivu,Region_Nuwara Eliya,Region_Polonnaruwa,Region_Puttalam,Region_Ratnapura,Region_Trincomalee,Region_Vavuniya
2020-02-21,35.5,43.0,83.0,1.75,408.82,2,4,2020,339.16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-02-29,25.0,396.2,78.7,0.79,229.31,2,5,2020,438.51,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-03-07,20.2,153.0,61.6,0.86,165.33,3,5,2020,346.21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-03-14,36.2,276.2,75.4,1.46,361.83,3,5,2020,345.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-03-21,29.0,33.3,79.6,1.76,56.58,3,5,2020,318.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-03-28,30.7,63.9,82.1,1.32,408.28,3,5,2020,129.12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-04-04,28.6,66.5,60.6,1.65,492.15,4,5,2020,132.23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-04-11,24.1,108.1,53.3,0.69,430.96,4,5,2020,408.82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-04-18,32.5,39.5,71.0,0.68,441.96,4,5,2020,229.31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-04-25,24.0,193.1,84.8,1.48,82.93,4,5,2020,165.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-05-02,29.1,284.2,61.8,0.87,479.01,5,5,2020,361.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020-05-09,29.8,145.4,79.6,1.79,336.96,5,5,2020,56.58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
